model,precision,recall,f1,roc_auc,pr_auc,accuracy,brier,train_seconds,inference_seconds,n_features,macro_f1,specificity,false_positive_rate,false_negative_rate,support_fraud,support_legit,tp,fp,tn,fn,n_estimators
logistic_regression,0.05121951219512195,0.8873239436619719,0.09684857801691008,0.9698039015490041,0.7133047881786791,0.9723912685918372,0.023994824262440387,0.26103566586971283,0.0018366668373346329,34,0.5414149710896557,0.9725334212012804,0.027466578798719637,0.11267605633802817,71.0,42488.0,63.0,1167.0,41321.0,8.0,200.0
decision_tree,0.10912698412698413,0.7746478873239436,0.19130434782608696,0.8482153038737036,0.49348068046163523,0.9890739914001738,0.007528750793241258,3.750578959006816,0.002695875009521842,34,0.5929020940720158,0.9894323102993786,0.010567689700621353,0.22535211267605634,71.0,42488.0,55.0,449.0,42039.0,16.0,200.0
random_forest,0.8571428571428571,0.7605633802816901,0.8059701492537313,0.979139760422827,0.8329833586120052,0.9993890833901172,0.0008537900035427621,10.29563175002113,0.05394341703504324,34,0.9028321046560477,0.9997881754848428,0.00021182451515722086,0.23943661971830985,71.0,42488.0,54.0,9.0,42479.0,17.0,200.0
xgboost,0.9180327868852459,0.7887323943661971,0.8484848484848485,0.9756885788464548,0.8484196882213727,0.999530064146244,0.00042816162837708044,0.9103403328917921,0.01230720803141594,34,0.9241247578032461,0.9998823197138016,0.00011768028619845603,0.2112676056338028,71.0,42488.0,56.0,5.0,42483.0,15.0,200.0
lightgbm,0.7894736842105263,0.6338028169014085,0.703125,0.8373379989975629,0.6355099850259087,0.9991071218778637,0.0008772018257208475,0.9344057498965412,0.03441691608168185,34,0.8513389442875632,0.9997175673131237,0.0002824326868762945,0.36619718309859156,71.0,42488.0,45.0,12.0,42476.0,26.0,200.0
catboost,0.8769230769230769,0.8028169014084507,0.8382352941176471,0.9626496031356658,0.8264165541464032,0.9994830705608685,0.0005383718616978546,4.433385584037751,0.00775137497112155,34,0.9189882078834688,0.9998117115420825,0.00018828845791752966,0.19718309859154928,71.0,42488.0,57.0,8.0,42480.0,14.0,200.0
hist_gradient_boosting,0.3548387096774194,0.7746478873239436,0.48672566371681414,0.9697051164073502,0.7127293094625742,0.9972743720482155,0.003755509048752616,7.385912291938439,0.011014209128916264,34,0.742679610824623,0.9976463942760309,0.0023536057239691207,0.22535211267605634,71.0,42488.0,55.0,100.0,42388.0,16.0,200.0
isolation_forest,0.0031484962406015038,0.9436619718309859,0.0062760526439042666,0.9350278852554226,0.08276632528030996,0.5014685495429874,0.33188814706389047,0.35063591692596674,0.2017993750050664,34,0.33677454677924196,0.5007296177744305,0.4992703822255696,0.056338028169014086,71.0,42488.0,67.0,21213.0,21275.0,4.0,
autoencoder,0.0031954887218045114,0.9577464788732394,0.006369725071425226,0.9470130422906484,0.284055438262759,0.501515543128363,0.33184822382785367,0.9954166249372065,0.01513233408331871,34,0.33683706508562083,0.5007531538316701,0.49924684616832987,0.04225352112676056,71.0,42488.0,68.0,21212.0,21276.0,3.0,
