strategy,pr_auc,recall,precision,f1,seconds
class_weight,0.6355099850259087,0.6338028169014085,0.7894736842105263,0.703125,0.9866389168892056
random_under,0.7139106703172103,0.8732394366197183,0.23048327137546468,0.36470588235294116,0.37160283303819597
random_over,0.8280420440657157,0.7746478873239436,0.859375,0.8148148148148148,1.1670819169376045
smote,0.7907879985894577,0.8028169014084507,0.6951219512195121,0.7450980392156863,1.619971042033285
smote_tomek,0.8332788750736945,0.8309859154929577,0.6020408163265306,0.6982248520710059,1.5713902090210468
